image,image_details
anya forger.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Female"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Side Ponytail"",
    ""Hair Color"": ""Pink"",
    ""Hair Length"": ""Medium"",
    ""Eye Color"": ""Green"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""Black Dress""
}"
ashito.jpg,"{
    ""Age"": ""Teenager"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Curly"",
    ""Hair Color"": ""Brown"",
    ""Hair Length"": ""Medium"",
    ""Eye Color"": ""Brown"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""Light Blue Soccer Jersey""
}"
ayanakoji.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Short"",
    ""Hair Color"": ""Brown"",
    ""Hair Length"": ""Short"",
    ""Eye Color"": ""Brown"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""School uniform""
}"
bachira.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Short"",
    ""Hair Color"": ""Black"",
    ""Hair Length"": ""Short"",
    ""Eye Color"": ""Yellow"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""Blue Tank Top""
}"
barou.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Spiky"",
    ""Hair Color"": ""Black"",
    ""Hair Length"": ""Short"",
    ""Eye Color"": ""Brown"",
    ""Body Type"": ""Muscular"",
    ""Dress"": ""White tank top with black accents and number 10""
}"
brook.jpg,"{
    ""Age"": ""Adult"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Undetermined"",
    ""Hair Style"": ""Afro"",
    ""Hair Color"": ""Black"",
    ""Hair Length"": ""Medium"",
    ""Eye Color"": ""White"",
    ""Body Type"": ""Skeleton"",
    ""Dress"": ""Yellow Shirt""
}"
bulma.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Female"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Short"",
    ""Hair Color"": ""Blue"",
    ""Hair Length"": ""Short"",
    ""Eye Color"": ""Brown"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""White T-shirt and Jeans""
}"
chad.jpg,"{
    ""Age"": ""Adult"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Hispanic or Latino"",
    ""Hair Style"": ""Wavy"",
    ""Hair Color"": ""Brown"",
    ""Hair Length"": ""Medium"",
    ""Eye Color"": ""Brown"",
    ""Body Type"": ""Muscular"",
    ""Dress"": ""Floral Hawaiian shirt, white pants""
}"
danzai.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Short"",
    ""Hair Color"": ""Brown"",
    ""Hair Length"": ""Medium"",
    ""Eye Color"": ""Brown"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""Suit""
}"
deku.jpg,"{
    ""Age"": ""Child"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Spiky"",
    ""Hair Color"": ""Green"",
    ""Hair Length"": ""Short"",
    ""Eye Color"": ""Green"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""School Uniform""
}"
draken.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Braids"",
    ""Hair Color"": ""Blonde"",
    ""Hair Length"": ""Medium"",
    ""Eye Color"": ""Brown"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""Black and white cardigan""
}"
ego jinpachi.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Short"",
    ""Hair Color"": ""Black"",
    ""Hair Length"": ""Short"",
    ""Eye Color"": ""Black"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""Black Suit""
}"
elizabeth.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Female"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Long"",
    ""Hair Color"": ""White"",
    ""Hair Length"": ""Long"",
    ""Eye Color"": ""Blue"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""Black Top""
}"
enri.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Female"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Half-updo"",
    ""Hair Color"": ""Red"",
    ""Hair Length"": ""Medium"",
    ""Eye Color"": ""Red"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""Beige Blazer and Dark Blue Shirt""
}"
eren.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Ponytail"",
    ""Hair Color"": ""Brown"",
    ""Hair Length"": ""Medium"",
    ""Eye Color"": ""Brown"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""Dark-colored jacket""
}"
erza.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Female"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Long"",
    ""Hair Color"": ""Red"",
    ""Hair Length"": ""Long"",
    ""Eye Color"": ""Red"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""Armor""
}"
fubuki.jpg,"{
    ""Age"": ""Young Adult"",
    ""Gender"": ""Female"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Bob"",
    ""Hair Color"": ""Black"",
    ""Hair Length"": ""Short"",
    ""Eye Color"": ""Green"",
    ""Body Type"": ""Slim"",
    ""Dress"": ""Green Dress""
}"
fukuda.jpg,"{
    ""Age"": ""Adult"",
    ""Gender"": ""Male"",
    ""Ethnicity"": ""Asian"",
    ""Hair Style"": ""Short"",
    ""Hair Color"": ""Black"",
    ""Hair Length"": ""Short"",
    ""Eye Color"": ""Brown"",
    ""Body Type"": ""Average"",
    ""Dress"": ""Dark-colored short-sleeved shirt""
}"
