image,image_details
ace.jpg,too many characters
akagami pirates.jpg,too many characters
all might.jpg,too many characters
anya forger.jpg,"```json
{
  ""Age"": ""Young Adult"",
  ""Gender"": ""Female"",
  ""Ethnicity"": ""Asian"",
  ""Hair Style"": ""Side Ponytail"",
  ""Hair Color"": ""Pink"",
  ""Hair Length"": ""Medium"",
  ""Eye Color"": ""Green"",
  ""Body Type"": ""Slim"",
  ""Dress"": ""Black Dress""
}
```"
arthur boyle.jpg,too many characters
ashito.jpg,"{
	""Age"": ""Teenager"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Curly"",
	""Hair Color"": ""Brown"",
	""Hair Length"": ""Medium"",
	""Eye Color"": ""Brown"",
	""Body Type"": ""Slim"",
	""Dress"": ""Light Blue Soccer Jersey""
}"
ayanakoji.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Short"",
	""Hair Color"": ""Brown"",
	""Hair Length"": ""Short"",
	""Eye Color"": ""Brown"",
	""Body Type"": ""Slim"",
	""Dress"": ""School uniform""
}
```"
bachira.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Short"",
	""Hair Color"": ""Black"",
	""Hair Length"": ""Short"",
	""Eye Color"": ""Yellow"",
	""Body Type"": ""Slim"",
	""Dress"": ""Blue Tank Top""
}
```"
bakugo.jpg,too many characters
ban.jpg,too many characters
barou.jpg,"```json
{
  ""Age"": ""Young Adult"",
  ""Gender"": ""Male"",
  ""Ethnicity"": ""Asian"",
  ""Hair Style"": ""Spiky"",
  ""Hair Color"": ""Black"",
  ""Hair Length"": ""Short"",
  ""Eye Color"": ""Brown"",
  ""Body Type"": ""Muscular"",
  ""Dress"": ""White tank top with black accents and number 10""
}
```"
blackbeard.jpg,too many characters
blue lock all.jpg,too many characters
brook.jpg,"```json
{
	""Age"": ""Adult"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Undetermined"",
	""Hair Style"": ""Afro"",
	""Hair Color"": ""Black"",
	""Hair Length"": ""Medium"",
	""Eye Color"": ""White"",
	""Body Type"": ""Skeleton"",
	""Dress"": ""Yellow Shirt""
}
```"
bulma.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Female"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Short"",
	""Hair Color"": ""Blue"",
	""Hair Length"": ""Short"",
	""Eye Color"": ""Brown"",
	""Body Type"": ""Slim"",
	""Dress"": ""White T-shirt and Jeans""
}
```"
chad.jpg,"```json
{
  ""Age"": ""Adult"",
  ""Gender"": ""Male"",
  ""Ethnicity"": ""Hispanic or Latino"",
  ""Hair Style"": ""Wavy"",
  ""Hair Color"": ""Brown"",
  ""Hair Length"": ""Medium"",
  ""Eye Color"": ""Brown"",
  ""Body Type"": ""Muscular"",
  ""Dress"": ""Floral Hawaiian shirt, white pants""
}
```"
class 1-1.jpg,too many characters
class s heroes opm.jpg,too many characters
danzai.jpg,"```json
{
  ""Age"": ""Young Adult"",
  ""Gender"": ""Male"",
  ""Ethnicity"": ""Asian"",
  ""Hair Style"": ""Short"",
  ""Hair Color"": ""Brown"",
  ""Hair Length"": ""Medium"",
  ""Eye Color"": ""Brown"",
  ""Body Type"": ""Slim"",
  ""Dress"": ""Suit""
}
```"
deku.jpg,"```json
{
	""Age"": ""Child"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Spiky"",
	""Hair Color"": ""Green"",
	""Hair Length"": ""Short"",
	""Eye Color"": ""Green"",
	""Body Type"": ""Slim"",
	""Dress"": ""School Uniform""
}
```"
dragon.jpg,too many characters
draken.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Braids"",
	""Hair Color"": ""Blonde"",
	""Hair Length"": ""Medium"",
	""Eye Color"": ""Brown"",
	""Body Type"": ""Slim"",
	""Dress"": ""Black and white cardigan""
}
```"
ego jinpachi.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Short"",
	""Hair Color"": ""Black"",
	""Hair Length"": ""Short"",
	""Eye Color"": ""Black"",
	""Body Type"": ""Slim"",
	""Dress"": ""Black Suit""
}
```"
elizabeth.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Female"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Long"",
	""Hair Color"": ""White"",
	""Hair Length"": ""Long"",
	""Eye Color"": ""Blue"",
	""Body Type"": ""Slim"",
	""Dress"": ""Black Top""
}
```"
enri.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Female"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Half-updo"",
	""Hair Color"": ""Red"",
	""Hair Length"": ""Medium"",
	""Eye Color"": ""Red"",
	""Body Type"": ""Slim"",
	""Dress"": ""Beige Blazer and Dark Blue Shirt""
}
```"
eren.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Ponytail"",
	""Hair Color"": ""Brown"",
	""Hair Length"": ""Medium"",
	""Eye Color"": ""Brown"",
	""Body Type"": ""Slim"",
	""Dress"": ""Dark-colored jacket""
}
```"
erza.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Female"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Long"",
	""Hair Color"": ""Red"",
	""Hair Length"": ""Long"",
	""Eye Color"": ""Red"",
	""Body Type"": ""Slim"",
	""Dress"": ""Armor""
}
```"
escanor.jpg,too many characters
fairytail guild.jpg,too many characters
fubuki.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Female"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Bob"",
	""Hair Color"": ""Black"",
	""Hair Length"": ""Short"",
	""Eye Color"": ""Green"",
	""Body Type"": ""Slim"",
	""Dress"": ""Green Dress""
}
```"
fukuda.jpg,"```json
{
  ""Age"": ""Adult"",
  ""Gender"": ""Male"",
  ""Ethnicity"": ""Asian"",
  ""Hair Style"": ""Short"",
  ""Hair Color"": ""Black"",
  ""Hair Length"": ""Short"",
  ""Eye Color"": ""Brown"",
  ""Body Type"": ""Average"",
  ""Dress"": ""Dark-colored short-sleeved shirt""
}
```"
gabimaru wife.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Female"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Wavy"",
	""Hair Color"": ""Blonde"",
	""Hair Length"": ""Long"",
	""Eye Color"": ""Brown"",
	""Body Type"": ""Slim"",
	""Dress"": ""Purple Kimono""
}
```"
gabimaru.jpg,"{
	""Age"": ""Young Adult"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Short"",
	""Hair Color"": ""White"",
	""Hair Length"": ""Short"",
	""Eye Color"": ""Yellow"",
	""Body Type"": ""Slim"",
	""Dress"": ""Dark Clothing""
}"
garp.jpg,too many characters
gildarts.jpg,too many characters
gojou.jpg,too many characters
goku.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Spiky"",
	""Hair Color"": ""Black"",
	""Hair Length"": ""Short"",
	""Eye Color"": ""Brown"",
	""Body Type"": ""Muscular"",
	""Dress"": ""Orange Gi""
}
```"
gon.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Spiky"",
	""Hair Color"": ""Black"",
	""Hair Length"": ""Short"",
	""Eye Color"": ""Brown"",
	""Body Type"": ""Slim"",
	""Dress"": ""Green Jacket and Shorts""
}
```"
hancock.jpg,too many characters
haruka sakura.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Two-toned"",
	""Hair Color"": ""Black and White"",
	""Hair Length"": ""Medium"",
	""Eye Color"": ""Blue"",
	""Body Type"": ""Slim"",
	""Dress"": ""Dark Green Jacket""
}
```"
himeno.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Female"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Short"",
	""Hair Color"": ""Dark teal"",
	""Hair Length"": ""Shoulder Length"",
	""Eye Color"": ""Brown"",
	""Body Type"": ""Slim"",
	""Dress"": ""Blue Sleeveless Top""
}
```"
hinata shoyou.jpg,"{
	""Age"": ""Teenager"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Spiky"",
	""Hair Color"": ""Orange"",
	""Hair Length"": ""Short"",
	""Eye Color"": ""Brown"",
	""Body Type"": ""Slim"",
	""Dress"": ""White T-shirt""
}"
hisoka.jpg,"```json
{
	""Age"": ""Young Adult"",
	""Gender"": ""Male"",
	""Ethnicity"": ""Asian"",
	""Hair Style"": ""Spiky"",
	""Hair Color"": ""Red"",
	""Hair Length"": ""Short"",
	""Eye Color"": ""Red"",
	""Body Type"": ""Slim"",
	""Dress"": ""Sleeveless top and pants""
}
```"
